Name,Slug,Image,Model,Brand,Category,Capacity,Warranty,MRP,Price with Old Battery,Price without Old Battery,Coupon Code,Note,Description,Recommended For,Is Best Seller
SFSonic F4W5-60S-DIN50L,sfsonic-f4w5-60s-din50l,,SFSonic F4W5-60S-DIN50L,SF Sonic,Car,50 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),7311,4949,6149,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Tata Nexon Diesel, Tata Indigo Manza Petrol, Skoda Rapid 1.6 MPI Style Petrol AT, Renault Duster-THP-110PS, Renault Scala Diesel, Renault Pulse Diesel, Nissan Sunny Diesel, Nissan Teana 250 Petrol, Nissan Micra Diesel, Maruti Suzuki Dzire Diesel Oct 2015 Onwards, Maruti Suzuki Swift Diesel Oct 2015 Onwards, Maruti Suzuki Ignis Diesel, Maruti Suzuki Baleno New Diesel, Maruti Suzuki S-Cross Crossover 1.3L, Maruti Suzuki Vitara Brezza Diesel, Maruti Suzuki Ciaz Diesel, Mahindra Verito Vibe, Mahindra Renault Logan 1.4 Petrol, Mahindra Verito 1.5 Diesel, Mahindra Verito 1.4 Petrol, Hyundai Grand i10 NIOS Diesel, Hyundai Venue Diesel, Hyundai Aura Diesel, Fiat Petra Diesel, Fiat Linea TJet Petrol, Fiat Avventura Diesel, Fiat Uno Petrol, Fiat Siena Diesel, Fiat Palio Diesel, Fiat Grande Punto 1.3 Diesel, Fiat Linea 1.3 Diesel, Chevrolet Aveo U VA 1.2 Petrol, Chevrolet Beat Petrol, Chevrolet Beat Diesel",False
SFSonic F4W0-HX-N55,sfsonic-f4w0-hx-n55,,SFSonic F4W0-HX-N55,SF Sonic,Car,45 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),7635,5199,6299,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF HybridX - a smart battery specially designed for Instant Start Stop Technology (ISS) providing excellent performance, better fuel efficiency and longer life! No matter how many times your car stops and start.","Toyota Urban Cruiser Hyryder, Toyota Glanza G Smart Hybrid, Maruti Suzuki Brezza Hybrid, Maruti Suzuki XL6 Hybrid, Maruti Suzuki Ertiga Petrol Hybrid, Maruti Suzuki Ciaz Petrol Hybrid",False
SFSonic F4W5-60S-75D23LBH,sfsonic-f4w5-60s-75d23lbh,,SFSonic F4W5-60S-75D23LBH,SF Sonic,Car,68 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),7817,5349,6849,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Nissan Micra XV CVT Automatic, Nissan X Trail Diesel, MG Hector Diesel, MG Hector Petrol, Hyundai Alcazar Diesel, Hyundai Xcent 1.2 CRDi Diesel, Hyundai i20 Active Diesel, Hyundai Elite i20 Diesel, Hyundai Creta Diesel, Hyundai Grand i10 Diesel, Hyundai i20 Sportz Diesel, Hyundai i20 Asta Diesel, Hyundai i20 Magna Diesel, Hyundai Fluidic Verna Diesel, Hyundai Elantra Diesel, Hyundai Getz 1.6 Diesel, Hyundai Sonata Embera Diesel, Hyundai Sonata Transform Diesel, Hyundai Sonata Transform Petrol, Hyundai Verna 1.6 Diesel, Hyundai Verna 1.4 Diesel, Hyundai I20 Era Diesel, Honda Accord Old 3.5 Petrol, Mitsubishi Outlander Automatic Petrol, Mitsubishi Outlander Diesel",False
SFSonic F4W5-48S-70L,sfsonic-f4w5-48s-70l,,SFSonic F4W5-48S-70L,SF Sonic,Car,65 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),7978,5649,7149,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Toyota Qualis Diesel, Toyota Qualis Petrol, Toyota Innova Diesel Old, MG Hector Diesel, MG Hector Petrol, Mahindra XUV700 Diesel, Mahindra XUV700 Petrol, ISUZU mu-X, ISUZU MU-7, ISUZU D-MAX V-Cross, ISUZU D-MAX",False
SFSonic F4W5-48S-70R,sfsonic-f4w5-48s-70r,,SFSonic F4W5-48S-70R,SF Sonic,Car,65 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),7978,5649,7149,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Tata Venture Diesel, Tata Indigo Diesel, Tata Indigo Marina Diesel, Tata Indica V2 Diesel, Tata Indica Vista Diesel, Premier Sigma Toursit, Premier Sigma School Van, Premier Sigma Express, Premier Sigma Lifeline, Premier Padmini Diesel, Mahindra KUV100 ESS Model Petrol, Mahindra KUV100 ESS Model Diesel, Mahindra TUV300 - T4 / T6, Mahindra Scorpio Micro Hybrid, Mahindra Bolero New, Mahindra Voyager, Mahindra Bolero Invader Dx, Mahindra Bolero Camper, Mahindra Bolero Old, Mahindra Thar 4X4, Mahindra Xylo D2, Mahindra Scorpio M2di Diesel, Mahindra Verito 1.4 Petrol, Mahindra Scorpio Vlx  Diesel, Mahindra Xylo E2, ICML Extreme Diesel, ICML Rhino Diesel, ICML Winner Diesel, ICML Delite Diesel, ICML Xcitor Diesel, Ambassador Classic Petrol, Chevrolet Enjoy, Chevrolet Sail Hatchback Diesel, Chevrolet Sail Diesel, Chevrolet Optra 1.6 Petrol, Chevrolet Tavera Diesel",False
SFSonic F4W0-72S-55LS,sfsonic-f4w0-72s-55ls,,SFSonic F4W0-72S-55LS,SF Sonic,Car,45 Ah,72 Months (36 Months Free Of Cost + 36 Months Pro Rata),8156,5399,6699,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"Long-lasting and enriched with Calcium-Silver Technology, ensures starting power even after ages.","Toyota Yaris AT, Toyota Corolla Automatic, Toyota Corolla Altis Petrol, Premier Rio 1.2L Diesel, Premier Rio 1.5L Diesel, Maruti Suzuki Ritz Automatic, Maruti Suzuki Baleno Old Automatic, Maruti Suzuki Zen Diesel, Maruti Suzuki SX4 Automatic (AT), Maruti Suzuki Esteem AX, Maruti Suzuki Versa Petrol, Maruti Suzuki Kizashi  Petrol, Maruti Suzuki Grand Vitara  Petrol, Hyundai Getz 1.3 Petrol, Hyundai Elantra Petrol, Hyundai Verna 1.6 Petrol, Honda Jazz Diesel, Honda WR-V Diesel, Honda BR-V Diesel, Honda Mobilio Diesel, Honda City Diesel, Honda Amaze 1.5 Diesel, Honda Civic 1.8 Petrol, Honda Accord 2.4 Petrol, Honda CRV 2.0 Petrol, Mitsubishi Lancer Petrol Automatic, Chevrolet Enjoy 1.4 Petrol, Chevrolet Forester, Chevrolet Sail Hatchback Petrol, Chevrolet Sail Petrol",False
SFSonic F4W5-60S-DIN60L,sfsonic-f4w5-60s-din60l,,SFSonic F4W5-60S-DIN60L,SF Sonic,Car,60 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),8543,5599,6999,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Volkswagen Tiguan 2.0, Volkswagen Vento 1.6L AT Highline Petrol, Volkswagen Beetle 2.0L Petrol, Volkswagen Vento 1.6 MPI Highline, Volkswagen Vento 1.6 Diesel, Volkswagen Polo 1.6 Petrol, Volkswagen Polo 1.2 Diesel, Volkswagen Phaeton 3.6 V6, Volkswagen Jetta Diesel New, Toyota Innova Hycross Petrol, Tata Tiago Diesel, Tata Indigo CS Diesel, Tata Indigo Manza Diesel, Skoda Kodiaq 2.0 TDI Style AT, Skoda Rapid 1.6 MPI Style Petrol AT, Skoda Laura Elegance 1.9 Diesel, Skoda Laura Ambiente 2.0 Petrol, Skoda Octavia Petrol, Skoda Rapid 1.6 Diesel, Skoda Superb 2.0 Diesel, Skoda Superb 3.6 Petrol, Skoda Superb 1.8 Petrol, Skoda Laura Ambiente1.9 Diesel, Skoda Laura Ambiente 1.8 Petrol, Skoda Fabia 1.4 Diesel, Skoda Fabia 1.2 Petrol, Renault Lodgy, Renault Koleos, Renault Scala Diesel, Renault Pulse Diesel, Renault Duster, Renault Fluence 2.0 Petrol, Renault Fluence 1.5 Diesel, Nissan Kicks Petrol, Nissan Kicks AT Diesel, Nissan Micra XV CVT Automatic, Nissan Terrano Diesel, Nissan Terrano Petrol, Nissan Sunny Diesel, Nissan Teana 250 Petrol, Nissan Micra Diesel, MG Astor Petrol, Mercedes Benz C200 Petrol 2015, Maruti Suzuki Celerio Diesel, Mahindra XUV 3XO Diesel, Mahindra XUV 3XO Petrol, Mahindra XUV300 Diesel, Mahindra XUV300 Petrol, Mahindra Verito Vibe, Mahindra Renault Logan 1.4 Petrol, Mahindra Renault Logan 1.5 Diesel, Mahindra Verito 1.5 Diesel, Kia Seltos Diesel, Hyundai Creta Diesel 2019 Onward, Hyundai Tucson Petrol, Hyundai Venue Diesel, Hyundai New Verna Diesel Oct 2018 Onwards, Hyundai Neo Fluidic Elantra 1.6 S Petrol, Hyundai Accent Diesel, Ford Fiesta Diesel, Fiat Uno Diesel, Opel Vectra Diesel, Opel Astra Diesel",False
SFSonic F4W5-60S-DIN66,sfsonic-f4w5-60s-din66,,SFSonic F4W5-60S-DIN66,SF Sonic,Car,66 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),8554,5649,7049,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Toyota Fortuner New 2017, Toyota Innova Crysta Diesel, Toyota Innova Crysta Petrol, Maruti Suzuki Kizashi Diesel, Maruti Suzuki S-Cross Crossover 1.6L, Maruti Suzuki Ertiga Diesel, Maruti Suzuki Ritz Diesel, Maruti Suzuki SX4 Diesel, Maruti Suzuki Swift Diesel Upto Sep 2015, Maruti Suzuki Dzire Diesel Upto Sep 2015, Jeep Compass 2.0L Diesel, Jeep Compass 1.4L Petrol, Hyundai Neo Fluidic Elantra 1.6 Diesel, Ford Endeavour 2.2 AT, Ford Endeavour Dec 2015 Onwards, Ford Fiesta Torque Diesel, Ford Endeavour 2.5 Diesel, Ford Endeavour 3.0 Diesel, Chevrolet Optra Srv Petrol, Chevrolet Optra Magnum Petrol",False
SFSonic F4W5-48S-105D31L,sfsonic-f4w5-48s-105d31l,,SFSonic F4W5-48S-105D31L,SF Sonic,Car,85 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),8596,5899,7699,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Toyota Land Cruiser Prado 4.0 Petrol, Toyota Land Cruiser Prado 4.5 Diesel, Toyota Land Cruiser Prado 3.0 Diesel, Toyota Fortuner D4 Diesel, Tata Hexa, Tata Safari Storme Diesel, Tata Aria Diesel, MG Hector Diesel, Kia Carnival, Hyundai Tucson Diesel, Hyundai Santa Fe Diesel, Hyundai Sonata Transform Diesel, Mitsubishi Lancer Diesel, Chevrolet Captiva Diesel",False
SFSonic F4W5-48S-105D31R,sfsonic-f4w5-48s-105d31r,,SFSonic F4W5-48S-105D31R,SF Sonic,Car,85 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),8596,5899,7699,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Tata Safari Dicor Diesel, Mahindra TUV 300 T10 Automatic, Mahindra Alturas G4, Mahindra XUV500 Hybrid, Mahindra Rexton, Mahindra XUV500, Mitsubishi Pajero Sport, Mitsubishi Pajero 4X4 Diesel, Ambassador Classic Diesel, Force Gurkha, Force One 2.2L Diesel, Chevrolet Optra Magnum Diesel",False
SFSonic F4W0-HX-DIN70,sfsonic-f4w0-hx-din70,,SFSonic F4W0-HX-DIN70,SF Sonic,Car,70 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),10182,6949,8449,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF HybridX - a smart battery specially designed for Instant Start Stop Technology (ISS) providing excellent performance, better fuel efficiency and longer life! No matter how many times your car stops and start.","Maruti Suzuki S-Cross Smart Hybrid, Maruti Suzuki Ertiga Hybrid, Maruti Suzuki Ciaz 1.3 Hybrid, Jeep Compass 2.0L Diesel, Jeep Compass 1.4L Petrol, Audi Q3 Quattro Diesel",False
SFSonic F4W5-72S-DIN74L,sfsonic-f4w5-72s-din74l,,SFSonic F4W5-72S-DIN74L,SF Sonic,Car,74 Ah,72 Months (36 Months Free Of Cost + 36 Months Pro Rata),12375,8699,10399,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"Long-lasting and enriched with Calcium-Silver Technology, ensures starting power even after ages.","Volvo V40 D3, Volvo S60 Diesel, Volvo S60 Petrol, Volkswagen Jetta Diesel Old, Volkswagen Jetta Petrol, Volkswagen Passat Petrol, Volkswagen Passat Diesel, Skoda Laura Elegance 1.9 Diesel, Skoda Laura Ambiente 2.0 Petrol, Skoda Octavia Petrol, Skoda Octavia Diesel, Skoda Superb 2.0 Diesel, Skoda Superb 3.6 Petrol, Skoda Superb 1.8 Petrol, Skoda Laura Ambiente1.9 Diesel, Skoda Laura Ambiente 1.8 Petrol, Skoda Yeti 2.0 Diesel, Skoda Fabia 1.4 Diesel, Renault Captur Diesel, Renault Fluence 2.0 Petrol, Renault Fluence 1.5 Diesel, Mercedes Benz A Class A180 Sports Automatic, Mercedes-Benz C-Class Kompressor, Mercedes Benz E220 CDi, Maruti Suzuki Kizashi Diesel, Mahindra Scorpio N Diesel, Mahindra Scorpio N Petrol, Jeep Compass 2.0L Diesel, Hyundai Elantra 1.6 SX AT Diesel, Hyundai Elantra Diesel, Mitsubishi Lancer Diesel, Ford Endeavour 2.2 AT 2019, Ford Mondeo Diesel, Opel Vectra Diesel, Opel Astra Diesel, BMW X1 sDrive20i, BMW X1 sDrive20d, BMW Z4 sDrive 35i Petrol, BMW Z4 35i AT Petrol, Audi A3 Diesel, Audi A3 Petrol, Audi Q3 Quattro Diesel, Audi A7 3.0 Diesel, Audi Q7 3.0 Diesel",False
SFSonic F4W5-60S-DIN80L,sfsonic-f4w5-60s-din80l,,SFSonic F4W5-60S-DIN80L,SF Sonic,Car,80 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),12477,8699,10499,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Volvo XC60, Toyota Fortuner New 2017 Automatic, Tata Harrier, MG Gloster, Mercedes Benz E350 Cabriolet 2016 Onwards, Mercedes Benz C220 CDi Diesel, Mercedes Benz B Class B180 CDI, Mercedes Benz A Class A180 CDI, Mercedes Benz C220 CDi Petrol, Mercedes Benz E Class E200 Petrol, Mercedes Benz C Class Petrol, Mercedes Benz E350 Cabriolet, Mercedes Benz E Class E250 Diesel, Mercedes Benz E Class E250 Petrol, Land Rover Range Rover Sport, Land Rover Range Rover Velar, Land Rover Defender, Land Rover Discovery Sport, Land Rover Discovery, Land Rover Range Rover Evoque 2012, Chevrolet Cruze Diesel, Chevrolet Captiva Diesel, BMW Z4 sDrive20i, BMW X4 xDrive30i, BMW X3 xDrive30i, BMW X1 sDrive20d",False
